Bangla Character,English Phonetic Conversion,Avro Conversion,,
অ,o,o,,
ঋ,rri,rri,,
আ,a,a,,
এ,e,e,,
ই,i,i,,
ঐ,oi,OI,OI,
ঈ,i,ee,I,
ও,o,o,,
উ,u,oo,u,
ঔ,ou,OU,OU,
ঊ,u,U,,
া,a,a,,
ৃ,rri,rri,,
ি,i,i,,
ে,e,e,,
ী,i,ee,I,
ৈ,oi,OI,,
ু,u,oo,u,
ো,ou,o,,
ু,u,U,,
ৌ,ou,OU,,
ক,k,k,,
খ,kh,kh,,
গ,g,g,,
ঘ,gh,gh,,    
ঙ,ng,Ng,,
চ,c,c,,
ছ,ch,ch,,
জ,j,j,,
ঝ,jh,jh,,
ঞ,ng,NG,,
ট,t,T,,
ঠ,th,Th,,
ড,d,D,,
ঢ,dh,Dh,,
ণ,n,N,,
ত,t,t,,
থ,th,th,,
দ,d,d,,
ধ,dh,dh,,
ন,n,n,,
প,p,p,,
ফ,ph,ph,f,
ব,b,b,,
ভ,bh,bh,v,
ম,m,m,,
য,z,z,,
র,r,r,,
ল,l,l,,
শ,s,sh,S,
ষ,s,Sh,,
স,s,s,,
হ,h,h,,
ড়,r,R,,
ঢ়,r,Rh,,
য়,y,y,Y,
ত্,t,t``,,
ং,ng,ng,,
ঃ,:,:,,
◌ঁ,^,^,,
জ়,j,J,,
